hello|ohell
there|tehre
frost|orfst
clock|colkc
phone|eophn
pound|pondu
onion|onnio
grass|ssarg
arrow|rarow
puppy|upppy
socks|oscks
stick|stcik
hindu|udnih
games|samge
brush|urhbs
table|batle
first|fitsr
craft|cratf
break|kebra
pizza|izazp
panic|pacni
venom|eomnv
shard|shdar
sword|srwod
gnome|nemgo
cruel|rucel
ninja|jnina
queen|eunqe
rogue|ergou
fever|ferev
poppy|oppyp
sauce|eucsa
rapid|aripd
acorn|nacro
shelf|ehslf
anvil|inavi
cocoa|oaocc
lemon|nomel
thigh|hight
thumb|hmbtu
whale|wahle
viper|ripve
horse|eohrs
olive|ielov
spoon|oposn
bacon|boacn
mango|magon
sushi|usshi
fruit|turfi
