phantom|tamhpno
ability|itbalyi
baggage|agbgaeg 
calcium|aclucim
default|udealft
eclipse|lceespi
fashion|faioshn
gambler|gmaelbr
habitat|ihtaatb
illicit|liiilct
january|njayura
keyhole|yekloeh
lantern|lantner
machine|namheci
natural|natlrua
obesity|boesiyt
painful|pifanul
quality|ayqluit
radical|adcaril
scholar|socrlha
tablets|eatbslt
utility|iutlyit
vacancy|acvanyc
wealthy|ewaylht
allergy|algryel
bedroom|bemrodo
central|aentclr
delight|delghit
element|eemlnet
feature|eaeuftr
general|genelar
healthy|ehtlayh
illness|lilessn
justify|usifjty
kingdom|ndiokmg
laundry|luryadn
mercury|cerrmuy
nostril|osnrtil
operate|eoaptre
panther|ntpaher
quarter|taqurre
rainbow|braiwno
shelter|hlseetr
urinate|uiranet
vaccine|nvacice
weather|waeterh
married|amrerid
capture|pacutre
bicycle|cbcieyl
anagram|ngramaa
